"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.021746030E-1,-5.090338230E0,-3.986086369E0,1.411286354E0,6.617564281E0
3.068895510E-1,-3.904285908E0,-6.287693977E0,-2.012139320E0,7.669892349E0
3.116044990E-1,-2.686675310E0,-5.828404427E0,3.177776337E0,7.161479235E0
3.163194470E-1,-2.557783127E0,-5.220343113E0,1.480209351E0,5.998771246E0
3.210343950E-1,-2.454795837E0,-3.997109413E0,2.837232590E0,5.482042962E0
3.257493430E-1,-2.399524689E0,-2.741339684E0,2.417517662E0,4.372305300E0
3.304642910E-1,-1.934093952E0,-1.882334948E0,1.510646820E0,3.092888308E0
3.351792390E-1,-9.722201824E-1,-1.264154434E0,6.287374496E-1,1.714237235E0
3.398941860E-1,1.519593596E-1,-6.608536243E-1,2.574729919E-1,7.253354406E-1
3.446091340E-1,9.440792203E-1,-1.717559099E-1,5.458345413E-1,1.103956980E0
3.493240820E-1,1.416802883E0,2.119872570E-1,1.603542328E0,2.150259753E0
3.540390300E-1,1.663511992E0,3.847305775E-1,2.779194832E0,3.261780752E0
3.587539780E-1,1.931151628E0,3.834087849E-1,3.826772690E0,4.303549480E0
3.634689260E-1,2.302403927E0,3.441722393E-1,4.692120552E0,5.237892100E0
3.681838740E-1,2.461353302E0,2.275733948E-1,5.094685555E0,5.662673452E0
3.728988220E-1,2.597006559E0,2.980833054E-1,4.648675919E0,5.333243340E0
3.776137700E-1,2.843276978E0,7.662415504E-1,3.459690094E0,4.543215341E0
3.823287180E-1,2.145886421E0,7.779419422E-1,2.368415833E0,3.289288031E0
3.870436660E-1,1.500097394E0,7.701590061E-1,1.566851616E0,2.301838629E0
3.917585610E-1,9.965478778E-1,8.105213642E-1,1.145432472E0,1.721065979E0
3.964735610E-1,5.531042814E-1,6.684930325E-1,4.654607773E-1,9.846121144E-1
