"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.937829916E0,6.047437191E-1,2.106193304E0,-1.516342163E-1,2.196533208E0
2.942544864E0,5.948667526E-1,1.991410851E0,-2.431163788E-1,2.092531770E0
2.947259811E0,6.192996502E-1,1.711003661E0,-2.864027023E-1,1.842034770E0
2.951974759E0,6.297810078E-1,1.455881715E0,-2.435226440E-1,1.604842348E0
2.956689707E0,6.974766254E-1,1.307263255E0,-1.195592880E-1,1.486507748E0
2.961404655E0,7.655227184E-1,1.164761543E0,-1.819915771E-1,1.405637015E0
2.966119655E0,8.780770302E-1,1.081043363E0,-3.345365524E-1,1.432336807E0
2.970834603E0,1.050222635E0,1.060767889E0,-4.095363617E-1,1.547874714E0
2.975549551E0,1.109969139E0,9.893316627E-1,-3.544912338E-1,1.528552473E0
2.980264499E0,1.076446295E0,1.081739664E0,-3.464593887E-1,1.564906206E0
2.984979447E0,1.158906221E0,1.055753589E0,-3.284235001E-1,1.601730709E0
2.989694343E0,1.213312387E0,1.020949125E0,-4.296388626E-1,1.642879672E0
2.994409343E0,1.220557690E0,9.820812941E-1,-4.492521286E-1,1.629746059E0
2.999124291E0,1.161067724E0,9.630837440E-1,-3.971195221E-1,1.559907841E0
3.003839239E0,1.000704527E0,1.016502619E0,-3.835105896E-1,1.477080735E0
3.008554186E0,8.203535080E-1,1.099186063E0,-3.846349716E-1,1.424476725E0
3.013269134E0,6.582214832E-1,1.091618299E0,-3.813648224E-1,1.330535667E0
3.017984082E0,5.048379898E-1,1.089626789E0,-3.115253448E-1,1.240643372E0
3.022699030E0,2.837293148E-1,9.497702122E-1,-2.277860641E-1,1.017080268E0
3.027413978E0,3.804612160E-2,8.109529018E-1,-1.874656677E-1,8.332079530E-1
3.032128978E0,-2.180657387E-1,7.165257931E-1,-6.627750397E-2,7.519006491E-1
3.036843926E0,-5.944926739E-1,5.612602234E-1,2.097988129E-2,8.178476222E-1
3.041558874E0,-9.423785210E-1,4.120537043E-1,2.197265625E-2,1.028760579E0
3.046273822E0,-1.247594953E0,3.355915546E-1,1.799297333E-2,1.292067570E0
3.050988770E0,-1.505947232E0,3.269063234E-1,-3.890609741E-2,1.541511756E0
3.055703718E0,-1.722359896E0,3.426042795E-1,-4.357528687E-2,1.756644559E0
3.060418666E0,-1.911103368E0,3.203155994E-1,-1.346521378E-1,1.942433876E0
3.065133614E0,-1.971392870E0,3.987915516E-1,-1.923723221E-1,2.020502823E0
3.069848561E0,-1.969905615E0,4.872456789E-1,-1.592874527E-1,2.035511969E0
3.074563509E0,-1.906408548E0,5.812186003E-1,-4.016304016E-2,1.993444678E0
3.079278457E0,-1.804745436E0,6.428643465E-1,5.029964447E-2,1.916483945E0
3.083993405E0,-1.521621943E0,7.106051445E-1,1.886253357E-1,1.689932698E0
3.088708405E0,-1.229706407E0,7.414858341E-1,3.220748901E-1,1.471635595E0
3.093423353E0,-9.681427479E-1,7.737613916E-1,4.647092819E-1,1.323616934E0
3.098138301E0,-5.744376183E-1,7.977575064E-1,4.635877609E-1,1.086880503E0
3.102853249E0,-3.355951309E-1,8.418978453E-1,4.383182526E-1,1.006746723E0
3.107568197E0,-2.858662605E-1,8.105642796E-1,5.940809250E-1,1.044828271E0
3.112283145E0,-9.906816483E-2,7.464812994E-1,4.721136093E-1,8.887857401E-1
3.116998093E0,-3.772473335E-2,7.548907995E-1,4.743881226E-1,8.923717642E-1
3.121713041E0,-8.777046204E-2,6.448949575E-1,7.344198227E-1,9.813081250E-1
3.126427989E0,-1.911616325E-2,5.936319828E-1,7.693939209E-1,9.719729236E-1
3.131142936E0,-6.072449684E-2,4.958899021E-1,8.474273682E-1,9.837313677E-1
3.135857884E0,-1.209077835E-1,4.233795404E-1,8.348827362E-1,9.438739908E-1
3.140572884E0,-1.808452606E-1,4.763221741E-1,9.229173660E-1,1.054212638E0
3.145287832E0,-3.363449574E-1,3.919394016E-1,1.044440269E0,1.165160891E0
3.150002780E0,-4.575378895E-1,3.427913189E-1,1.094548225E0,1.234861379E0
3.154717728E0,-3.622171879E-1,3.668627739E-1,9.827432632E-1,1.109762996E0
3.159432676E0,-2.955975533E-1,4.826554060E-1,1.210549831E0,1.336325203E0
3.164147624E0,-2.578630447E-1,5.896710157E-1,1.213520050E0,1.373621552E0
3.168862572E0,-1.387293339E-1,6.114332676E-1,1.039872169E0,1.214261338E0
3.173577520E0,6.723713875E-2,6.340498924E-1,7.713460922E-1,1.000757160E0
3.178292468E0,3.322896957E-1,7.097520828E-1,3.462486267E-1,8.567686808E-1
3.183007416E0,5.847549438E-1,7.952083349E-1,6.585311890E-2,9.892579409E-1
3.187722416E0,7.714602947E-1,8.282651901E-1,-2.725505829E-2,1.132217757E0
3.192437364E0,1.050030470E0,9.186978340E-1,-1.341400146E-1,1.401628782E0
3.197152311E0,1.224242210E0,1.042740941E0,-1.066703796E-1,1.611662567E0
3.201867259E0,1.408519506E0,1.114404678E0,-5.507946014E-2,1.796902539E0
3.206582207E0,1.323882818E0,1.200479507E0,3.114862442E-1,1.814067376E0
3.211297155E0,1.266723394E0,1.262525439E0,4.620218277E-1,1.847166157E0
3.216012103E0,1.146769762E0,1.333995461E0,4.925975800E-1,1.826821599E0
3.220726999E0,9.833972454E-1,1.362500072E0,5.659418106E-1,1.773067038E0
3.225441999E0,7.576501369E-1,1.367354035E0,6.485891342E-1,1.692441625E0
3.230156999E0,6.898663044E-1,1.410972118E0,6.737947464E-1,1.709022293E0
3.234871947E0,5.164067745E-1,1.316885352E0,7.609720230E-1,1.606219601E0
3.239586895E0,4.575984478E-1,1.152440429E0,7.668075562E-1,1.457912586E0
3.244301843E0,3.702948093E-1,9.848170280E-1,7.058944702E-1,1.266992434E0
3.249016791E0,1.833295822E-1,7.998404503E-1,6.071624756E-1,1.020784381E0
3.253731739E0,-9.870219231E-2,5.068269968E-1,5.613565445E-1,7.627167872E-1
3.258446686E0,-3.808383942E-1,2.301603556E-1,5.776977539E-1,7.292094120E-1
3.263161634E0,-5.631403923E-1,-3.513675928E-2,5.077896118E-1,7.590862818E-1
3.267876582E0,-6.886513233E-1,-2.319110036E-1,3.135328293E-1,7.914077291E-1
3.272591582E0,-7.474718094E-1,-3.749292493E-1,1.146602631E-1,8.440574766E-1
3.277306530E0,-7.248306274E-1,-4.456973076E-1,-1.890687943E-1,8.716493202E-1
3.282021478E0,-6.398010254E-1,-4.160308242E-1,-4.445734024E-1,8.832171358E-1
3.286736426E0,-4.639506340E-1,-2.912544608E-1,-6.567926407E-1,8.552519656E-1
3.291451374E0,-2.312238216E-1,-1.435881257E-1,-8.546123505E-1,8.969081754E-1
3.296166322E0,5.514860153E-3,-2.127379179E-2,-1.009477615E0,1.009716814E0
3.300881270E0,1.888899803E-1,1.839399338E-2,-1.121448517E0,1.137393749E0
3.305596218E0,3.571391106E-1,3.287667036E-2,-1.190600395E0,1.243446228E0
3.310311218E0,5.056912899E-1,-3.972476721E-2,-1.259917259E0,1.358194845E0
3.315026166E0,5.918104649E-1,-1.419262886E-1,-1.295859337E0,1.431654329E0
3.319741114E0,7.352554798E-1,-2.257939875E-1,-1.341404915E0,1.546269928E0
3.324456061E0,8.501300812E-1,-2.672676146E-1,-1.372560501E0,1.636482649E0
3.329171009E0,9.317994118E-1,-3.382316530E-1,-1.394095421E0,1.710600139E0
3.333885957E0,1.075949430E0,-3.526595235E-1,-1.415557861E0,1.812688604E0
3.338600905E0,1.177037001E0,-3.727927506E-1,-1.384482384E0,1.855042319E0
3.343315853E0,1.273256063E0,-4.131534100E-1,-1.353548050E0,1.903672521E0
3.348030801E0,1.335677385E0,-4.690405130E-1,-1.318064690E0,1.934251175E0
3.352745801E0,1.354627609E0,-4.974052608E-1,-1.268525124E0,1.921349511E0
3.357460749E0,1.392455816E0,-5.175257325E-1,-1.219234467E0,1.921795715E0
3.362175697E0,1.444468021E0,-5.343331695E-1,-1.189276695E0,1.945861983E0
3.366890645E0,1.481977701E0,-5.143089294E-1,-1.164275169E0,1.953537369E0
3.371605593E0,1.481316090E0,-4.624251127E-1,-1.086811066E0,1.894542856E0
3.376320541E0,1.500150919E0,-4.215430319E-1,-1.028535843E0,1.867093272E0
3.381035489E0,1.500173569E0,-3.389377892E-1,-9.368619919E-1,1.800863669E0
3.385750489E0,1.505455256E0,-2.908848822E-1,-8.691158295E-1,1.762490246E0
3.390465436E0,1.544771910E0,-2.438483238E-1,-7.869901657E-1,1.750752918E0
3.395180384E0,1.584571838E0,-2.837079465E-1,-6.761760712E-1,1.746016091E0
3.399895332E0,1.567676783E0,-2.955062389E-1,-6.083316803E-1,1.707337654E0
3.404610280E0,1.556294680E0,-2.410154939E-1,-5.547208786E-1,1.669687651E0
3.409325228E0,1.483673096E0,-2.205464542E-1,-4.340190887E-1,1.561505416E0
3.414040176E0,1.416908264E0,-2.052728832E-1,-3.084020615E-1,1.464540138E0
3.418755124E0,1.288988113E0,-1.377336979E-1,-1.922426224E-1,1.310503016E0
3.423470124E0,1.186171532E0,-8.471402526E-2,-7.590675354E-2,1.191612858E0
3.428185072E0,1.103596449E0,-2.221038938E-2,2.359390259E-3,1.103822445E0
3.432900020E0,9.981667995E-1,4.054135084E-2,1.238527298E-1,1.006637998E0
3.437614968E0,9.270536900E-1,6.040614843E-2,2.119703293E-1,9.528949928E-1
3.442329916E0,8.470370770E-1,9.491568804E-2,2.428140640E-1,8.862502284E-1
3.447044864E0,7.675778866E-1,1.443331242E-1,2.690134048E-1,8.260605757E-1
3.451759811E0,6.742885113E-1,1.893990636E-1,2.809896469E-1,7.546470588E-1
3.456474811E0,5.813038349E-1,1.825935543E-1,3.408308029E-1,6.981548473E-1
3.461189759E0,5.076878071E-1,2.720879316E-1,3.098592758E-1,6.540577366E-1
3.465904707E0,5.061390400E-1,3.190684915E-1,2.408113480E-1,6.449585532E-1
3.470619655E0,4.952149391E-1,3.138950467E-1,1.336965561E-1,6.013673631E-1
3.475334603E0,4.747691154E-1,2.659852803E-1,6.975078583E-2,5.486520340E-1
3.480049551E0,4.209764004E-1,1.942674518E-1,5.906105042E-3,4.636764546E-1
3.484764499E0,4.006390572E-1,6.994214654E-2,-3.877735138E-2,4.085428264E-1
3.489479447E0,3.467011452E-1,-1.152902842E-2,-8.348655701E-2,3.567977127E-1
3.494194447E0,2.782657146E-1,-8.845570683E-2,-7.088565826E-2,3.004679626E-1
3.498909395E0,2.143158913E-1,-1.561684012E-1,-8.235454559E-2,2.776727246E-1
3.503624343E0,9.716963768E-2,-1.955281198E-1,-7.494640350E-2,2.308465887E-1
3.508339291E0,-1.102685928E-2,-1.921816170E-1,-5.347728729E-2,1.997878520E-1
3.513054239E0,-1.343426704E-1,-1.846857369E-1,-1.802921295E-2,2.290891247E-1
3.517769186E0,-2.199761868E-1,-1.920926571E-1,-1.156139374E-2,2.922717528E-1
3.522484134E0,-3.636200428E-1,-1.188872755E-1,1.373863220E-2,3.828086595E-1
3.527199134E0,-4.599542618E-1,-8.193314075E-3,1.964092255E-2,4.604463260E-1
3.531914082E0,-5.425539017E-1,2.546706796E-2,1.572704315E-2,5.433789172E-1
3.536629030E0,-5.921623707E-1,4.906958342E-2,1.161575317E-2,5.943054963E-1
3.541343978E0,-6.039431095E-1,4.359707236E-2,2.564430237E-3,6.055200744E-1
3.546058926E0,-5.921773911E-1,3.298446536E-2,7.732391357E-3,5.931457050E-1
3.550773874E0,-5.999612808E-1,2.688679099E-2,-3.026485443E-2,6.013255353E-1
3.555488874E0,-5.842008591E-1,2.540448308E-2,-4.921627045E-2,5.868204775E-1
3.560203822E0,-5.829992294E-1,1.412340999E-2,-1.207885742E-1,5.955480265E-1
3.564918770E0,-5.865092278E-1,2.651810646E-3,-1.253452301E-1,5.997595627E-1
3.569633718E0,-5.997173786E-1,1.493990421E-2,-1.442871094E-1,6.170112680E-1
3.574348666E0,-5.748729706E-1,3.668820858E-2,-1.345939636E-1,5.915576827E-1
3.579063614E0,-5.981097221E-1,4.894331098E-2,-1.010923386E-1,6.085641694E-1
3.583778561E0,-6.215741634E-1,3.744950891E-2,-4.858970642E-2,6.245941610E-1
3.588493509E0,-5.925893784E-1,3.098380566E-2,-8.699989319E-2,5.997425689E-1
3.593208509E0,-6.019809246E-1,2.010390162E-2,-3.934574127E-2,6.036002715E-1
3.597923457E0,-5.733408928E-1,2.391281724E-2,-1.092243195E-2,5.739432914E-1
3.602638405E0,-5.499978065E-1,3.292217851E-2,2.211570740E-2,5.514259348E-1
3.607353353E0,-4.936032295E-1,6.624230742E-2,3.111743927E-2,4.989994855E-1
3.612068301E0,-4.569280148E-1,5.678978562E-2,4.473781586E-2,4.626118920E-1
3.616783301E0,-4.158334732E-1,7.156798244E-2,-8.653640747E-3,4.220359452E-1
3.621498249E0,-3.607132435E-1,4.825288057E-2,-3.337097168E-2,3.654531519E-1
3.626213197E0,-3.346538544E-1,4.440632463E-2,-7.247734070E-2,3.452797255E-1
3.630928145E0,-3.327291012E-1,7.199198008E-3,-1.402702332E-1,3.611595514E-1
3.635643093E0,-2.735505104E-1,-5.859953165E-2,-2.127847672E-1,3.514842016E-1
3.640358041E0,-3.005816936E-1,-6.699648499E-2,-2.278881073E-1,3.831068689E-1
3.645072989E0,-2.941787243E-1,-1.040460169E-1,-2.334308624E-1,3.896879046E-1
3.649787989E0,-2.781248093E-1,-1.315652132E-1,-2.867355347E-1,4.205711375E-1
3.654502936E0,-2.475497723E-1,-1.112072170E-1,-3.351268768E-1,4.312284295E-1
3.659217884E0,-2.313673496E-1,-1.243576109E-1,-3.117723465E-1,4.076734746E-1
3.663932832E0,-2.151718140E-1,-9.446772933E-2,-3.027763367E-1,3.832708852E-1
3.668647780E0,-1.511123180E-1,-4.062086344E-2,-3.367748260E-1,3.713519499E-1
3.673362780E0,-1.350002289E-1,-3.475287557E-2,-3.373022079E-1,3.649734287E-1
3.678077728E0,-6.645679474E-2,9.335547686E-3,-3.139724731E-1,3.210644358E-1
3.682792676E0,-2.680087090E-2,3.429472446E-2,-3.098278046E-1,3.128700741E-1
3.687507624E0,3.190135956E-2,5.446830392E-2,-3.009185791E-1,3.074678587E-1
3.692222520E0,4.760122299E-2,8.418461680E-2,-3.015527725E-1,3.166812289E-1
3.696937520E0,6.814813614E-2,1.090933084E-1,-3.212785721E-1,3.460714367E-1
3.701652468E0,1.030399799E-1,1.100994945E-1,-3.122901917E-1,3.467914358E-1
3.706367468E0,1.476972103E-1,1.254366040E-1,-2.984580994E-1,3.558455348E-1
3.711082416E0,1.830399036E-1,1.168672740E-1,-3.132257462E-1,3.811455550E-1
3.715797364E0,2.328686714E-1,1.274553835E-1,-3.183555603E-1,4.145153263E-1
3.720512311E0,2.541038990E-1,6.615427136E-2,-2.995424271E-1,3.983350910E-1
3.725227259E0,2.946863174E-1,8.125850558E-2,-3.236970901E-1,4.452221654E-1
3.729942207E0,2.970750332E-1,3.880679607E-2,-3.286819458E-1,4.447374105E-1
3.734657207E0,3.043370247E-1,5.850452185E-2,-2.810583115E-1,4.183749253E-1
3.739372155E0,2.973449230E-1,4.947799444E-2,-2.191267014E-1,3.726641738E-1
3.744087103E0,3.142530918E-1,6.903150678E-2,-2.002992630E-1,3.789988778E-1
3.748802051E0,2.928395271E-1,9.346103668E-2,-1.528310776E-1,3.432889341E-1
3.753516999E0,2.713906765E-1,1.178746521E-1,-1.150035858E-1,3.174478818E-1
3.758231947E0,2.642495632E-1,1.135602593E-1,-1.393795013E-1,3.196097770E-1
3.762946947E0,2.570595741E-1,1.283506453E-1,-1.302881241E-1,3.154813910E-1
3.767661895E0,2.546005249E-1,9.535977244E-2,-1.260042191E-1,2.996530939E-1
3.772376843E0,2.282416821E-1,4.815831780E-2,-1.456241608E-1,2.749907002E-1
3.777091791E0,2.018573284E-1,2.489474416E-2,-1.365613937E-1,2.449798840E-1
3.781806739E0,1.754987240E-1,2.083000541E-2,-1.514091492E-1,2.327196204E-1
3.786521739E0,1.874029636E-1,-4.531413317E-2,-1.471195221E-1,2.425229788E-1
3.791236686E0,1.514906883E-1,-8.266365528E-2,-1.619548798E-1,2.366687382E-1
3.795951634E0,1.346328259E-1,-1.295621097E-1,-1.720294952E-1,2.539812696E-1
3.800666582E0,1.082878113E-1,-1.429805458E-1,-1.868572235E-1,2.590083175E-1
3.805381530E0,1.250960827E-1,-1.325201988E-1,-2.159748077E-1,2.825875981E-1
3.810096530E0,1.038541794E-1,-9.341385961E-2,-1.971912384E-1,2.416531073E-1
3.814811478E0,5.900335312E-2,-6.389865279E-2,-1.831274033E-1,2.027315450E-1
3.819526426E0,4.774546623E-2,-2.470326424E-2,-1.582536697E-1,1.671349897E-1
3.824241374E0,5.587410927E-2,1.885706186E-2,-1.429824829E-1,1.546657534E-1
3.828956322E0,4.041457176E-2,7.151034474E-2,-1.420097351E-1,1.640543565E-1
3.833671322E0,5.376243591E-2,7.152023911E-2,-1.409788132E-1,1.669747582E-1
3.838386270E0,9.093642235E-2,7.144168019E-2,-1.304006577E-1,1.742919335E-1
3.843101218E0,1.041722298E-1,5.705529451E-2,-1.436100006E-1,1.863625294E-1
3.847816166E0,9.841609001E-2,6.175345182E-2,-1.376943588E-1,1.801636812E-1
3.852531114E0,1.259758472E-1,5.700823665E-2,-1.080808640E-1,1.755030663E-1
3.857246061E0,1.153900623E-1,6.655710936E-2,-8.818626404E-2,1.597546007E-1
3.861961061E0,1.238181591E-1,7.606089115E-2,-9.695053101E-2,1.746871522E-1
3.866676009E0,1.084947586E-1,8.082708716E-2,-1.246051788E-1,1.839309144E-1
3.871390957E0,1.409132481E-1,1.046067774E-1,-1.282463074E-1,2.173619947E-1
3.876105905E0,1.210668087E-1,9.029239416E-2,-1.460218430E-1,2.100768127E-1
3.880820853E0,1.347093582E-1,8.565902710E-2,-1.541223526E-1,2.218958758E-1
3.885535801E0,1.483418941E-1,6.215149164E-2,-1.478805542E-1,2.184874911E-1
3.890250801E0,1.334867477E-1,6.265619397E-2,-1.369085312E-1,2.012174356E-1
3.894965749E0,1.425349712E-1,5.368256569E-2,-1.449928284E-1,2.102877937E-1
3.899680697E0,1.230289936E-1,7.329300046E-2,-1.340274811E-1,1.961411810E-1
3.904395645E0,1.368455887E-1,6.431734562E-2,-1.326618195E-1,2.011531616E-1
3.909110593E0,1.316626072E-1,9.348747134E-2,-1.360149384E-1,2.111279538E-1
3.913825593E0,1.361615658E-1,1.083694994E-1,-1.630144119E-1,2.384483569E-1
3.918540541E0,1.503188610E-1,7.108196616E-2,-1.992063522E-1,2.594832878E-1
3.923255489E0,1.929323673E-1,2.935850620E-2,-2.445554733E-1,3.128772919E-1
3.927970436E0,1.879403591E-1,1.643925905E-2,-2.704782486E-1,3.297731202E-1
3.932685384E0,2.021832466E-1,-3.453269601E-2,-2.866325378E-1,3.524610391E-1
3.937400384E0,1.689591408E-1,-3.785121441E-2,-2.836446762E-1,3.323164276E-1
3.942115332E0,1.551547050E-1,-5.569723248E-2,-2.616615295E-1,3.092602791E-1
3.946830280E0,1.318707466E-1,-4.514932632E-2,-2.019405365E-1,2.453738694E-1
3.951545228E0,1.608283520E-1,-7.768371701E-2,-1.759996414E-1,2.507516550E-1
3.956260176E0,1.514749527E-1,-9.114038944E-2,-1.265888214E-1,2.174303603E-1
3.960975176E0,1.419947147E-1,-5.718517303E-2,-8.715438843E-2,1.761491710E-1
3.965690124E0,1.230010986E-1,-6.156674027E-2,-1.486492157E-2,1.383499175E-1
3.970405072E0,1.229436398E-1,-4.228776693E-2,1.403808594E-2,1.307687334E-1
3.975120020E0,8.465743065E-2,-1.369518042E-2,2.837657928E-2,9.033088499E-2
3.979835020E0,9.399318695E-2,-9.051114321E-3,5.203914642E-2,1.078179699E-1
3.984549968E0,9.371161461E-2,1.460888982E-2,4.227066040E-2,1.038368678E-1
3.989264916E0,6.959962845E-2,1.945495605E-4,2.306270599E-2,7.332144664E-2
3.993979864E0,5.993056297E-2,-1.397499442E-2,1.351261139E-2,6.300447217E-2
3.998694811E0,5.988907814E-2,-4.314899445E-3,-1.017665863E-2,6.090061099E-2
4.003409811E0,5.041193962E-2,-3.261256218E-2,-3.364849091E-2,6.882705724E-2
4.008124759E0,4.597401619E-2,9.502172470E-4,-7.583999634E-2,8.869170267E-2
4.012839707E0,1.800107956E-2,2.011930943E-2,-1.081314087E-1,1.114505586E-1
4.017554655E0,4.742312431E-2,1.065403223E-2,-1.448316574E-1,1.527699909E-1
4.022269603E0,4.348373413E-2,6.083697081E-3,-1.764431000E-1,1.818241294E-1
4.026984603E0,7.290148735E-2,1.100704074E-2,-2.077589035E-1,2.204530421E-1
4.031699551E0,8.799433708E-2,2.534493804E-2,-2.197809219E-1,2.380945671E-1
4.036414499E0,7.453751564E-2,3.003588319E-2,-2.316875458E-1,2.452286981E-1
4.041129447E0,5.650115013E-2,1.090565324E-2,-2.102613449E-1,2.179934550E-1
4.045844447E0,5.280160904E-2,4.870721698E-2,-1.937828064E-1,2.066692502E-1
4.050559395E0,6.326413155E-2,6.721058488E-2,-1.727304459E-1,1.958453982E-1
4.055274343E0,1.668834686E-2,8.083102107E-2,-1.376171112E-1,1.604700102E-1
4.059989291E0,1.779890060E-2,1.180666089E-1,-9.335613251E-2,1.515648128E-1
4.064704239E0,2.828526497E-2,9.809580445E-2,-4.475116730E-2,1.114697719E-1
4.069419239E0,5.270886421E-2,9.252861142E-2,-3.458499908E-2,1.119637908E-1
4.074134186E0,5.298495293E-2,5.396422744E-2,-3.405761719E-2,8.294253654E-2
4.078849134E0,7.683277130E-2,6.325078011E-2,-1.934528351E-2,1.013813391E-1
4.083564082E0,3.857874870E-2,4.405736923E-2,-1.905632019E-2,6.158339853E-2
4.088279030E0,4.799723625E-2,2.985891700E-2,-2.829170227E-2,6.321162891E-2
4.092994030E0,2.876091003E-2,6.359308958E-3,-1.849460602E-2,3.478047165E-2
4.097708978E0,3.325676918E-2,2.105763555E-2,-5.628585815E-2,6.868431072E-2
4.102423926E0,2.806854248E-2,3.095975518E-2,-7.008171082E-2,8.159531671E-2
4.107138874E0,4.659938812E-2,3.598046303E-2,-7.429027557E-2,9.478998754E-2
4.111853874E0,6.017947197E-2,3.608998656E-2,-6.424903870E-2,9.514197260E-2
4.116568822E0,4.997301102E-2,5.996346474E-2,-6.376266479E-2,1.007898624E-1
4.121283770E0,5.414199829E-2,7.409328222E-2,-9.174060822E-2,1.297594299E-1
4.125998718E0,6.787633896E-2,7.854342461E-2,-9.097862244E-2,1.380339693E-1
4.130713718E0,5.777001381E-2,7.819354534E-2,-1.234426498E-1,1.571295416E-1
4.135428666E0,5.723690987E-2,7.786381245E-2,-9.868812561E-2,1.381237969E-1
4.140143614E0,7.563781738E-2,7.759013772E-2,-1.358489990E-1,1.737707093E-1
4.144858561E0,8.913993835E-2,7.257300615E-2,-1.347341537E-1,1.771046640E-1
4.149573509E0,1.025292873E-1,4.386889935E-2,-1.383743286E-1,1.777194134E-1
4.154288509E0,8.727931976E-2,2.964136004E-2,-1.420011520E-1,1.692944685E-1
4.159003457E0,6.735968590E-2,4.393652081E-2,-1.123971939E-1,1.382059128E-1
4.163718405E0,8.093523979E-2,3.916558623E-2,-1.446981430E-1,1.703584714E-1
4.168433353E0,6.112861633E-2,3.909239173E-2,-9.132575989E-2,1.166418332E-1
4.173148353E0,2.250695229E-2,2.951106429E-2,-4.314327240E-2,5.691052425E-2
4.177863301E0,1.257729530E-2,2.004560828E-2,-9.633064270E-3,2.555016039E-2
4.182578249E0,3.115653992E-2,1.051792502E-2,1.883125305E-2,3.789423199E-2
4.187293197E0,1.626086235E-2,1.530838013E-2,3.278827667E-2,3.967156707E-2
4.192008197E0,-1.284933090E-2,5.733817816E-3,5.133819580E-2,5.323149744E-2
4.196723145E0,-1.809263229E-2,6.266245246E-2,6.020736694E-2,8.876290512E-2
4.201438093E0,1.451873779E-2,4.320308566E-2,5.471515656E-2,7.121129626E-2
4.206153041E0,1.822900772E-2,5.239912868E-2,5.396461487E-2,7.739602746E-2
4.210867989E0,3.129577637E-2,4.731705785E-2,6.268024445E-2,8.454077493E-2
4.215582989E0,5.375027657E-2,2.805855870E-2,3.810596466E-2,7.161312373E-2
4.220297936E0,4.754304886E-2,2.799671888E-2,-9.990692139E-3,5.607113065E-2
4.225012884E0,7.466602325E-2,4.171818495E-3,-7.209777832E-4,7.478595394E-2
4.229727832E0,9.687280655E-2,2.803882957E-2,-6.269454956E-2,1.187481501E-1
4.234442832E0,9.538102150E-2,2.316161990E-2,-8.611965179E-2,1.305779243E-1
4.239157780E0,7.502532005E-2,2.301740646E-2,-6.660461426E-2,1.029309200E-1
4.243872728E0,9.296703339E-2,2.765592933E-2,-1.136388779E-1,1.494038630E-1
4.248587676E0,6.810331345E-2,2.269360423E-2,-6.535053253E-2,9.707601700E-2
4.253302624E0,6.728219986E-2,2.246502042E-2,-7.438182831E-2,1.027824301E-1
4.258017624E0,8.545303345E-2,4.125720263E-2,-5.960750580E-2,1.120599502E-1
4.262732572E0,9.867620468E-2,3.134745359E-2,-5.446720123E-2,1.169885987E-1
4.267447520E0,1.069896221E-1,5.484706163E-2,-1.616287231E-2,1.213104194E-1
4.272162520E0,9.145498276E-2,5.440443754E-2,-5.412483215E-2,1.193874120E-1
4.276877468E0,1.139645576E-1,5.869370699E-2,-3.483963013E-2,1.328407749E-1
4.281592416E0,3.651881218E-2,7.243853807E-2,-3.473377228E-2,8.824624852E-2
4.286307364E0,4.993939400E-2,5.286571383E-2,-1.391410828E-3,7.273694244E-2
4.291022364E0,6.324577332E-2,7.149270177E-2,-2.052688599E-2,9.763496964E-2
4.295737311E0,3.373122215E-2,6.621804833E-2,-4.424858093E-2,8.649024331E-2
4.300452259E0,7.095742226E-2,4.674997926E-2,-3.928184509E-2,9.361399301E-2
4.305167207E0,3.673768044E-2,4.159212112E-2,-6.756401062E-2,8.743258680E-2
4.309882207E0,4.551744461E-2,4.589802027E-2,-9.086608887E-2,1.115128339E-1
4.314597155E0,1.161623001E-2,2.640324831E-2,-8.546733856E-2,9.020384849E-2
4.319312103E0,-7.818460464E-3,-2.620270848E-2,-8.487892151E-2,8.917478103E-2
4.324027103E0,-1.765537262E-2,-2.145701647E-2,-9.855270386E-2,1.023950740E-1
4.328742051E0,-5.119514465E-2,-1.198768616E-2,-6.941795349E-2,8.708329187E-2
4.333456999E0,-5.134630203E-2,6.875783205E-3,-5.954647064E-2,7.892718982E-2
4.338171947E0,-5.160260201E-2,3.971281648E-2,-5.454254150E-2,8.494012691E-2
4.342886947E0,-4.247403145E-2,5.794969201E-2,-5.436611176E-2,9.009930221E-2
4.347601895E0,-1.902914047E-2,9.494590759E-2,-5.888938904E-2,1.133348741E-1
4.352316843E0,1.381325722E-2,5.109721422E-2,-5.384445190E-2,7.550467785E-2
4.357031791E0,-1.051592827E-2,7.881781459E-2,-7.255363464E-2,1.076422898E-1
4.361746791E0,3.318786621E-3,4.949972034E-2,-3.889656067E-2,6.304109049E-2
4.366461739E0,3.596067429E-2,3.487542272E-2,-2.451515198E-2,5.577147910E-2
4.371176686E0,4.929208755E-2,4.881170392E-2,-6.247615814E-2,9.335717793E-2
4.375891634E0,3.861832619E-2,4.848271608E-2,-7.644081116E-2,9.841314184E-2
4.380606634E0,6.108927727E-2,8.403062820E-4,-6.660842896E-2,9.038411763E-2
4.385321582E0,5.010175705E-2,-8.349835873E-3,-9.009265900E-2,1.034243348E-1
4.390036530E0,4.379129410E-2,-1.735678315E-2,-1.086807251E-1,1.184501387E-1
4.394751530E0,3.278493881E-2,-7.234871387E-3,-1.223678589E-1,1.268900645E-1
4.399466478E0,2.892255783E-3,2.714425325E-3,-1.027221680E-1,1.027987210E-1
